title,description,image_url,imdb_url,rating,popularity,year
The Batman(2022),,,https://www.imdb.com/title/tt1877830/,8.1,1,2022
Fantastic Beasts: The Secrets of Dumbledore(2022),,,https://www.imdb.com/title/tt4123432/,6.5,4,2022
Doctor Strange in the Multiverse of Madness(2022),,,https://www.imdb.com/title/tt9419884/,,13,2022
Dune(2021),,,https://www.imdb.com/title/tt1160419/,8.1,16,2021
Ambulance(2022),,,https://www.imdb.com/title/tt4998632/,6.2,14,2022
Death on the Nile(2022),"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.",https://m.media-amazon.com/images/M/MV5BNjI4ZTQ1OTYtNTI0Yi00M2EyLThiNjMtMzk1MmZlOWMyMDQwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,https://www.imdb.com/title/tt7657566/,6.3,9,2022
X(2022),"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their ...",https://m.media-amazon.com/images/M/MV5BMTJiMmE5YWItOWZjYS00YTg0LWE0MTYtMzg2ZTY4YjNkNDEzXkEyXkFqcGdeQXVyMTAzMDg4NzU0._V1_.jpg,https://www.imdb.com/title/tt13560574/,6.8,6,2022
The Unbearable Weight of Massive Talent(2022),"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).",https://m.media-amazon.com/images/M/MV5BNDM2ODNiMWItOWRkNS00ODE3LWE2OGYtNTZkMDJkOWI1ODMxXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_.jpg,https://www.imdb.com/title/tt11291274/,7.6,7,2022
K.G.F: Chapter 2(2022),"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threa...",https://m.media-amazon.com/images/M/MV5BMjMwMDgyOGQtMWZjNC00MDUwLTllZDYtZWM3NDBmN2YzNGZmXkEyXkFqcGdeQXVyMTQzNjkzMzEw._V1_.jpg,https://www.imdb.com/title/tt10698680/,9,8,2022
Thor: Love and Thunder(2022),"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",https://m.media-amazon.com/images/M/MV5BMzJjZWYzNTctODgwOS00OGNiLTg4MjktMDlmNWUxNjczMzljXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_.jpg,https://www.imdb.com/title/tt10648342/,,3,2022
