title,description,image_url,imdb_url,rating,popularity,release_time
Summer of '85: Mackey Returns ,,,https://www.imdb.com/title/tt18501232/,,"2,375",06 May 2022
The Ravine ,"When an unspeakable crime rocks a peaceful community, family and friends are left to wonder if they overlooked the murderer among them or if there might be more to the story. Inspired by tru...",,https://www.imdb.com/title/tt11155912/,,None,06 May 2022
Firebird ,"Firebird follows a handsome, soulful young soldier who embarks on a clandestine sexual affair with a charismatic fighter pilot on a Soviet Air Force Base at the height of 1970's Communist ru...",https://m.media-amazon.com/images/M/MV5BYWNhNDQxNmMtNWNhMy00MmFhLTg5Y2YtNzliODg1MzZiNTk4XkEyXkFqcGdeQXVyNDI3NjU1NzQ@._V1_.jpg,https://www.imdb.com/title/tt4061620/,7.5,314,29 April 2022
Fortress: Sniper's Eye ,Story revolves around a top-secret resort for retired U.S. intelligence officers.,None,https://www.imdb.com/title/tt14577304/,,"2,635",29 April 2022
Vendetta ,,,https://www.imdb.com/title/tt14849038/,,"3,520",17 May 2022
65 ,,,https://www.imdb.com/title/tt12261776/,,None,14 April 2023
Vortex ,The last days of an elderly couple stricken by dementia.,https://m.media-amazon.com/images/M/MV5BZDg3OTM5NTktN2RmMC00MTIxLWJmMjEtNDg0MjE5Zjg4MDg2XkEyXkFqcGdeQXVyMTEzNzE5Nzgz._V1_.jpg,https://www.imdb.com/title/tt14821150/,7.5,814,29 April 2022
Renfield ,Dracula's henchman and inmate at the lunatic asylum.,,https://www.imdb.com/title/tt11358390/,,729,14 April 2023
Memory ,An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. A remake of the 2003 Belgian film 'The Memory of a Killer'.,https://m.media-amazon.com/images/M/MV5BOGI5N2FhNzktZjZlNi00MmRjLWE1MmUtNjRlNzQyOGMzYjNhXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,https://www.imdb.com/title/tt11827628/,6.7,335,29 April 2022
The Twin ,A mother who needs to confront the unbearable truth about her surviving twin son.,https://m.media-amazon.com/images/M/MV5BYWEyNTM4M2YtOWY1Ny00ODMxLTg2MTgtZGUzMWYzNDZkMmMyXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_.jpg,https://www.imdb.com/title/tt12390572/,5.9,"2,463",06 May 2022
Untitled Illumination Entertainment Super Mario Project ,,,https://www.imdb.com/title/tt6718170/,,794,07 April 2023
Happening ,"An adaptation of Annie Ernaux's eponymous novel, looking back on her experience with abortion when it was still illegal in France in the 1960s.",https://m.media-amazon.com/images/M/MV5BZDU4NTE3YTQtMzczMC00YzRkLWI5MjItNGE3NjQ0NTY4MzExXkEyXkFqcGdeQXVyODA0MjgyNzM@._V1_.jpg,https://www.imdb.com/title/tt13880104/,7.4,"1,043",06 May 2022
Hatching ,"A young gymnast who tries desperately to please her demanding mother, discovers a strange egg. She hides it and keeps it warm, but when it hatches, what emerges shocks them all.",https://m.media-amazon.com/images/M/MV5BZjQwYzVlN2EtZDNjYy00NmU5LWExNzYtYWI3ZTM2NDhiOTg5XkEyXkFqcGdeQXVyMTM1MDExOTE2._V1_.jpg,https://www.imdb.com/title/tt12519030/,6.8,457,29 April 2022
Black Site ,"A group of officers based in a labyrinthine top-secret must fight for their lives against Hatchet, a brilliant and infamous high-value detainee. When he escapes, his mysterious and deadly ag...",https://m.media-amazon.com/images/M/MV5BYzg0OGViZGEtMWNlNS00YzMwLWIyNTktY2E3MjlkNTVlOTJjXkEyXkFqcGdeQXVyMjg3NTU2Mzk@._V1_.jpg,https://www.imdb.com/title/tt13918550/,,"3,995",03 May 2022
Doctor Strange in the Multiverse of Madness ,"Dr. Stephen Strange casts a forbidden spell that opens the doorway to the multiverse, including alternate versions of himself, whose threat to humanity is too great for the combined forces o...",https://m.media-amazon.com/images/M/MV5BNWM0ZGJlMzMtZmYwMi00NzI3LTgzMzMtNjMzNjliNDRmZmFlXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_.jpg,https://www.imdb.com/title/tt9419884/,,13,06 May 2022
The Sadness ,"A young couple trying to reunite amid a city ravaged by a plague that turns its victims into deranged, bloodthirsty sadists.",https://m.media-amazon.com/images/M/MV5BNWZjYWI5MmItZTcxYS00MTY2LWE4NDEtZjJmYzc2N2E2M2I5XkEyXkFqcGdeQXVyMjU3OTMxNzI@._V1_.jpg,https://www.imdb.com/title/tt13872248/,6.4,129,12 May 2022
Scream 6 ,,,https://www.imdb.com/title/tt17669358/,,"3,078",31 March 2023
Montana Story ,"Two estranged siblings return home to the sprawling ranch they once knew and loved, confronting a deep and bitter family legacy against a mythic American backdrop.",https://m.media-amazon.com/images/M/MV5BOTVmYmJlZGYtOTZlOC00ZjE4LWEwOGUtMjFkNWZjYzFkNTk1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://www.imdb.com/title/tt13656980/,7.7,"2,270",13 May 2022
